Nodes,Num Cascades,Prob Infection,LP Objective Value,Rounded Objective Value,Fixed Cascades?,Sets Sampled,N_p,Budget
3080,500,0.2,28.402,28.402, Y,1000,3,10
3080,500,0.2,28.438,28.438, Y,1000,3,10
3080,500,0.2,28.39,28.39, Y,1000,3,10
3080,500,0.2,28.408,28.408, Y,1000,3,10
3080,500,0.2,28.422,28.422, Y,1000,3,10
3080,600,0.2,28.415,28.415, Y,1000,3,10
3080,600,0.2,28.4,28.4, Y,1000,3,10
3080,600,0.2,28.395,28.395, Y,1000,3,10
3080,600,0.2,28.38666667,28.38666667, Y,1000,3,10
3080,600,0.2,28.43166667,28.43166667, Y,1000,3,10
3080,700,0.2,28.40285714,28.40285714, Y,1000,3,10
3080,700,0.2,28.45857143,28.45857143, Y,1000,3,10
3080,700,0.2,28.45285714,28.45285714, Y,1000,3,10
3080,700,0.2,28.42285714,28.42285714, Y,1000,3,10
3080,700,0.2,28.45714286,28.45714286, Y,1000,3,10
3080,800,0.2,28.21375,28.21375, Y,1000,3,10
3080,800,0.2,28.19,28.19, Y,1000,3,10
3080,800,0.2,28.18625,28.18625, Y,1000,3,10
3080,800,0.2,28.18,28.18, Y,1000,3,10
3080,800,0.2,28.17,28.17, Y,1000,3,10
3080,900,0.2,28.24666667,28.24666667, Y,1000,3,10
3080,900,0.2,28.25222222,28.25222222, Y,1000,3,10
3080,900,0.2,28.23777778,28.23777778, Y,1000,3,10
3080,900,0.2,28.26666667,28.26666667, Y,1000,3,10
3080,900,0.2,28.28888889,28.28888889, Y,1000,3,10
3080,1000,0.2,28.218,28.218, Y,1000,3,10
3080,1000,0.2,28.183,28.183, Y,1000,3,10
3080,1000,0.2,28.235,28.235, Y,1000,3,10
3080,1000,0.2,28.179,28.179, Y,1000,3,10
3080,1000,0.2,28.212,28.212, Y,1000,3,10
3080,500,0.5,20.534,20.534, Y,1000,3,10
3080,500,0.5,20.548,20.548, Y,1000,3,10
3080,500,0.5,20.684,20.684, Y,1000,3,10
3080,500,0.5,20.564,20.564, Y,1000,3,10
3080,500,0.5,20.67,20.67, Y,1000,3,10
3080,600,0.5,21.34,21.34, Y,1000,3,10
3080,600,0.5,21.27166667,21.27166667, Y,1000,3,10
3080,600,0.5,21.30833333,21.30833333, Y,1000,3,10
3080,600,0.5,21.31166667,21.31166667, Y,1000,3,10
3080,600,0.5,21.33333333,21.33333333, Y,1000,3,10
3080,700,0.5,20.79428571,20.79428571, Y,1000,3,10
3080,700,0.5,20.90571429,20.90571429, Y,1000,3,10
3080,700,0.5,20.74571429,20.74571429, Y,1000,3,10
3080,700,0.5,20.80571429,20.80571429, Y,1000,3,10
3080,700,0.5,20.82857143,20.82857143, Y,1000,3,10
3080,800,0.5,20.39,20.39, Y,1000,3,10
3080,800,0.5,20.38625,20.38625, Y,1000,3,10
3080,800,0.5,20.45625,20.45625, Y,1000,3,10
3080,800,0.5,20.50125,20.50125, Y,1000,3,10
3080,800,0.5,20.44375,20.44375, Y,1000,3,10
3080,900,0.5,20.91555556,20.91555556, Y,1000,3,10
3080,900,0.5,20.94444444,20.94444444, Y,1000,3,10
3080,900,0.5,20.97444444,20.97444444, Y,1000,3,10
3080,900,0.5,20.83888889,20.83888889, Y,1000,3,10
3080,900,0.5,20.92111111,20.92111111, Y,1000,3,10
3080,1000,0.5,20.894,20.894, Y,1000,3,10
3080,1000,0.5,20.872,20.872, Y,1000,3,10
3080,1000,0.5,20.827,20.827, Y,1000,3,10
3080,1000,0.5,20.832,20.832, Y,1000,3,10
3080,1000,0.5,20.925,20.925, Y,1000,3,10
3080,1000,0.5,27.665,27.665, Y,1000,4,10
3080,1000,0.5,27.715,27.715, Y,1000,4,10
3080,1000,0.5,27.702,27.702, Y,1000,4,10
3080,1000,0.5,27.747,27.747, Y,1000,4,10
3080,1000,0.5,27.707,27.707, Y,1000,4,10
3080,1000,0.5,34.407,34.407, Y,1000,5,10
3080,1000,0.5,34.432,34.432, Y,1000,5,10
3080,1000,0.5,34.57,34.57, Y,1000,5,10
3080,1000,0.5,34.575,34.575, Y,1000,5,10
3080,1000,0.5,34.601,34.601, Y,1000,5,10
3080,1000,0.5,41.36,41.36, Y,1000,6,10
3080,1000,0.5,41.098,41.098, Y,1000,6,10
3080,1000,0.5,41.23,41.23, Y,1000,6,10
3080,1000,0.5,41.387,41.387, Y,1000,6,10
3080,1000,0.5,41.135,41.135, Y,1000,6,10
3080,1000,0.5,47.954,47.954, Y,1000,7,10
3080,1000,0.5,47.802,47.802, Y,1000,7,10
3080,1000,0.5,47.829,47.829, Y,1000,7,10
3080,1000,0.5,47.728,47.728, Y,1000,7,10
3080,1000,0.5,47.99,47.99, Y,1000,7,10
3080,1000,0.5,54.554,54.554, Y,1000,8,10
3080,1000,0.5,54.35,54.35, Y,1000,8,10
3080,1000,0.5,54.866,54.866, Y,1000,8,10
3080,1000,0.5,54.738,54.738, Y,1000,8,10
3080,1000,0.5,54.54,54.54, Y,1000,8,10
3080,1000,0.5,60.464,60.464, Y,1000,9,10
3080,1000,0.5,60.628,60.628, Y,1000,9,10
3080,1000,0.5,61.287,61.287, Y,1000,9,10
3080,1000,0.5,60.554,60.554, Y,1000,9,10
3080,1000,0.5,60.553,60.553, Y,1000,9,10
3080,1000,0.5,67.368,67.368, Y,1000,10,10
3080,1000,0.5,67.299,67.299, Y,1000,10,10
3080,1000,0.5,67.274,67.274, Y,1000,10,10
3080,1000,0.5,67.362,67.362, Y,1000,10,10
3080,1000,0.5,67.619,67.619, Y,1000,10,10
3080,1000,0.5,23.073,23.073, Y,1000,3,11
3080,1000,0.5,23.011,23.011, Y,1000,3,11
3080,1000,0.5,22.925,22.925, Y,1000,3,11
